id,Value
0,1014.6650932217316
1,954.3413556153952
2,931.7821879398632
3,893.7545134309054
4,847.4587194619706
5,810.6093278024078
6,824.3190713604034
7,531.334624098029
8,-169.8129931462562
9,-169.8129931462562
10,-37.221377407546015
11,909.887134979352
12,918.0997558306021
13,842.7156806070032
14,802.9556235345772
15,847.5714900078525
16,854.7608512222126
17,847.1283642675224
18,866.5478355170633
19,891.4291804558457
20,964.6167432678083
21,967.604149419265
22,978.9320999641402
23,980.7293739800641
24,922.8184199117097
25,900.1743400957491
26,882.4692013089381
27,845.7063983813229
28,816.770955813422
29,807.0798459191395
30,938.5466671773181
31,920.5250710846112
32,883.1127927758537
33,853.5607284434883
34,835.1467800593878
35,835.4186389875301
36,874.326832236407
37,864.4978861551161
38,815.3153521419995
39,887.2810515470163
40,879.1194869700643
41,890.3760843098955
42,869.1730663052906
43,856.1212991270238
44,849.9768230877593
45,865.3329593526189
46,907.4828348444876
47,893.4423153209029
48,901.2257465373597
49,886.5808145711991
50,863.3991724125176
51,879.3849363283616
52,928.5942966388129
53,911.3565787132359
54,963.3606415313636
55,921.3547694850466
56,926.7982957828342
57,896.1255261640995
58,881.5931278790092
59,828.2546281790188
60,814.1180968568275
61,821.2284650927847
62,854.1850971585814
63,840.0506110436959
64,783.935427707107
65,753.5048087232091
66,698.5791715283789
67,624.735099108339
68,649.5325295167834
69,735.5747469737432
70,478.59924610748004
71,-158.73913585996786
72,-158.73913585996786
73,-45.637300879585496
74,756.1524269756901
75,768.476434604443
76,726.6252681945512
77,704.0740736974165
78,721.7945590931167
79,727.218344435286
80,725.2577452859232
81,731.7332689718205
82,746.944696366675
83,778.7831492855
84,779.6502906983774
85,783.304721337818
86,785.9168824345584
87,761.8904841700657
88,748.2169881841597
89,738.3360271808035
90,714.3776499921898
91,697.3283736605822
92,697.6800048956993
93,763.6902275360233
94,759.4267645796397
95,742.6799220300433
96,728.8816809352548
97,716.4332678252949
98,717.6488498743425
99,740.3416958561286
100,738.9232804141068
101,698.1062056942098
102,753.5249167699558
103,751.808242030211
104,757.1920474381496
105,749.3529851930259
106,744.8407271568719
107,742.5321542804293
108,747.3035543519547
109,766.6656096589015
110,762.2991397424092
111,766.8876442662583
112,760.4722463676139
113,752.025086198763
114,757.0037799830394
115,782.4247444535874
116,776.1586179972516
117,796.0053862780969
118,779.2948163015798
119,778.3450798039196
120,765.8026818800328
121,758.807027455948
122,729.285059306238
123,721.4660800132067
124,730.243276403475
125,744.0940524594987
126,533.1436789881019
127,601.1151673677277
128,632.4595967552815
129,651.5826877612948
130,630.063934514188
131,708.3089672425959
132,673.3804775298305
133,363.08292703549057
134,-123.43324126699622
135,-123.43324126699622
136,-28.26481342544446
137,639.810472131669
138,655.917737584356
139,644.922479803397
140,638.2063238261196
141,631.1784580390865
142,634.9776338769819
143,638.2361510153986
144,632.8010180658837
145,639.114513521104
146,632.9047364229441
147,631.8208688199862
148,628.4143412139125
149,631.7763543046941
150,638.9295345982689
151,633.5104695508956
152,630.8290657280417
153,618.6528692052191
154,612.5408507334295
155,622.1335581576698
156,627.9126332063387
157,636.3090312745012
158,638.577908156076
159,639.2758613109622
160,632.3167164867759
161,634.4006948565188
162,642.1727105171279
163,648.4934435160494
164,615.373837434356
165,655.5667218978084
166,659.7804614851536
167,659.760301674679
168,664.2183697589235
169,667.563926693753
170,668.7850420233659
171,663.8166626912906
172,662.2100482223766
173,666.745369251045
174,668.3940077132298
175,669.5511836595117
176,674.6622739315529
177,669.5125684750875
178,673.0441906873554
179,676.8738101699631
180,667.130359788405
181,673.6957943737472
182,666.863135474736
183,671.0037776767223
184,670.9432061738581
185,663.3364485721296
186,661.3306786488188
187,671.6416937700958
188,667.9118207545214
189,1122.3503865658304
190,954.9704587160154
191,890.8174315451377
192,818.4793803678115
193,679.6580554087604
194,699.7802249412737
195,789.5605161297947
196,522.3334487325951
197,-179.67423579260503
198,-179.67423579260503
199,-50.71071465083514
200,875.8049558155146
201,879.1536656915534
202,786.2481657435543
203,737.6632379331813
204,798.7977092506391
205,806.4086119929893
206,795.0161933207361
207,822.7049511509106
208,852.1500219372472
209,950.0185196080929
210,954.3905799364206
211,970.6494795482331
212,971.4563419974552
213,892.9988056457571
214,866.0529341009177
215,844.2775816095838
216,802.0654284078573
217,767.2638360457445
218,750.3205374838419
219,918.4294037271397
220,891.2108589643783
221,841.5934074649163
222,802.8975125308949
223,782.1448502211765
224,781.5512393484806
225,828.5502279231638
226,812.9142539582671
227,764.0865489792836
228,839.2893092906207
229,826.775864765669
230,841.4038040675885
231,811.8426221452067
232,793.3727232003065
233,784.8382752040849
234,807.0380102000684
235,862.507271192488
236,842.2128302968192
237,851.5721485542012
238,832.0273255577617
239,799.5998902982207
240,822.6996830845287
241,885.0028950480133
242,860.8768711644186
243,932.8398713464248
244,875.3050268244599
245,885.4782670139748
246,843.763048725573
247,824.9175468181224
248,759.1030559666904
249,741.6552886450365
250,746.2055295131056
251,790.7001707646331
